
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. MY_CUSTOM_FPGA_DESIGN_6F813211, 439, 1297, 7, 0, 0, 2, 0, 6, 170
.	. BVF_RISCV_SUBSYSTEM, 307, 1230, 7, 0, 0, 2, 0, 0, 96
.	.	. APB_ARBITER_28s, 0, 34, 0, 0, 0, 0, 0, 0, 0
.	.	. FIC3_INITIATOR, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAPB3_Z1, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. MIV_IHC_C0, 307, 1189, 7, 0, 0, 2, 0, 0, 0
.	.	.	. MIV_IHC_C0_MIV_IHC_C0_0_MIV_IHC_Z15, 307, 1189, 7, 0, 0, 2, 0, 0, 0
.	.	.	.	. miv_ihc_core_Z4, 307, 1185, 7, 0, 0, 2, 0, 0, 0
.	.	.	.	.	. miv_ihc_address_controller_Z2, 0, 642, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_apb_target_0s_32s_32s, 37, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z10, 11, 38, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z11, 11, 42, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z12, 11, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z13, 11, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z14, 11, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z5, 11, 38, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z6, 11, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z7, 11, 24, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z8, 11, 29, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_channel_Z9, 11, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_interrupt_module_0s_8s_32s_0_8_0, 32, 28, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_interrupt_module_0s_8s_32s_0_8_1, 32, 24, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_interrupt_module_0s_8s_32s_0_8_2, 32, 27, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_interrupt_module_0s_8s_32s_0_8_3, 32, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_interrupt_module_0s_8s_32s_0_8_4, 32, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_mailbox_address_decoder_Z3, 0, 91, 5, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihc_ram_singleport_addreg_128s_7s_32s, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	.	. PF_SOC_MSS, 0, 5, 0, 0, 0, 0, 0, 0, 94
.	. CAPE, 100, 66, 0, 0, 0, 0, 0, 0, 65
.	.	. P8_IOPADS, 0, 0, 0, 0, 0, 0, 0, 0, 44
.	.	. P9_11_18_IOPADS, 0, 0, 0, 0, 0, 0, 0, 0, 8
.	.	. P9_21_31_IOPADS, 0, 0, 0, 0, 0, 0, 0, 0, 11
.	.	. P9_41_42_IOPADS, 0, 0, 0, 0, 0, 0, 0, 0, 2
.	.	. apb_ctrl_status, 96, 61, 0, 0, 0, 0, 0, 0, 0
.	.	. counter, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	. CLOCKS_AND_RESETS, 32, 1, 0, 0, 0, 0, 0, 6, 0
.	.	. CORERESET_0, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_3, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_3, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_0, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. FPGA_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	.	. FPGA_CCC_C0_FPGA_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	. INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. INIT_MONITOR_INIT_MONITOR_0_PFSOC_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSCILLATOR_160MHz, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. OSCILLATOR_160MHz_OSCILLATOR_160MHz_0_PF_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. PF_CCC_ADC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. PF_CCC_ADC_PF_CCC_ADC_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
