
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. my_design, 1371, 258, 928, 0, 28, 0, 2, 1, 70
.	. CORECORDIC_C0, 922, 77, 847, 0, 0, 0, 0, 0, 0
.	.	. CORECORDIC_C0_CORECORDIC_C0_0_CORECORDIC_Z1_layer0, 922, 77, 847, 0, 0, 0, 0, 0, 0
.	.	.	. CORECORDIC_C0_CORECORDIC_C0_0_cordic_par_Z2_layer0, 922, 77, 847, 0, 0, 0, 0, 0, 0
.	.	.	.	. CORECORDIC_C0_CORECORDIC_C0_0_cordic_par_uRotator_16s_18_16s_4_0_3s, 770, 21, 779, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_0s, 18, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_10s, 53, 1, 53, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_11s, 53, 1, 54, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_12s, 53, 2, 54, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_13s, 53, 1, 54, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_14s, 37, 1, 54, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_15s, 36, 0, 38, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_1s, 48, 1, 46, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_2s, 52, 1, 53, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_3s, 52, 2, 53, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_4s, 52, 1, 53, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_5s, 52, 1, 53, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_6s, 52, 2, 53, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. cordic_par_calc_0_18_4_7s, 53, 1, 53, 0, 0, 0, 0, 0, 0
