Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),Math (18x18),Chip Globals,Row Global
I_2/Primitives,0,0,0,0,0,0,0,0,1
Primitives/Primitives,0,0,0,0,26,0,0,1,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/kickstart_0/Primitives,3,1,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/kickstart_0/counter_0/Primitives,5,4,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/roundx_0/create_valid_bit.valid_pipe_0/Primitives,0,2,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/roundx_0/sign_extend.pipe_0/Primitives,0,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/Primitives,1,0,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[0].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[10].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[11].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[12].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[13].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[14].par_calc_0/Primitives,131,81,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[15].par_calc_0/Primitives,49,48,0,0,0,0,0,0,0
