
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top, 4703, 2016, 2558, 0, 31, 0, 26, 34, 26
.	. envelope, 1952, 273, 1519, 0, 15, 0, 10, 0, 0
.	.	. CORECORDIC_C0, 1592, 59, 1519, 0, 0, 0, 0, 0, 0
.	.	.	. CORECORDIC_C0_CORECORDIC_C0_0_CORECORDIC_Z1_layer0, 1592, 59, 1519, 0, 0, 0, 0, 0, 0
.	.	.	.	. CORECORDIC_C0_CORECORDIC_C0_0_cordic_par_Z2_layer0, 1587, 51, 1519, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. CORECORDIC_C0_CORECORDIC_C0_0_cordic_par_uRotator_48s_48_16s_4_1_2s, 1489, 51, 1519, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_kitDelay_bit_reg_16s, 16, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_0s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_10s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_11s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_12s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_13s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_14s, 81, 33, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_15s, 48, 0, 49, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_1s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_2s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_3s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_4s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_5s, 96, 0, 98, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. cordic_par_calc_1_48_4_6s, 96, 0, 98, 0, 0, 0, 0, 0, 0
