SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,top_bf_0.delay_ctrl.x_ic\[15\][0],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_728_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
2,top_bf_0.delay_ctrl.x_ic\[15\][1],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_728_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
3,top_bf_0.delay_ctrl.x_ic\[15\][3],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_728_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
4,top_bf_0.delay_ctrl.x_ic\[14\][0],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_725_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
5,top_bf_0.delay_ctrl.x_ic\[14\][1],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_725_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
6,top_bf_0.delay_ctrl.x_ic\[14\][3],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_725_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
7,top_bf_0.delay_ctrl.x_ic\[13\][0],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_726_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
8,top_bf_0.delay_ctrl.x_ic\[13\][1],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_726_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
9,top_bf_0.delay_ctrl.x_ic\[13\][3],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_726_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
10,top_bf_0.delay_ctrl.x_ic\[12\][0],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_727_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
11,top_bf_0.delay_ctrl.x_ic\[12\][1],delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_727_inferred_clock,top|clk,top_bf_0.delay_ctrl.channel_idx[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
